Timestamp,Source_IP,Destination_IP,Protocol,Packet_Size
2026-06-09 23:02:34.792133,10.130.23.3,142.250.70.78,6,66
2026-06-09 23:02:34.877249,142.250.70.78,10.130.23.3,6,70
2026-06-09 23:02:34.910508,10.130.23.3,142.250.70.78,6,54
2026-06-09 23:02:34.928006,10.130.23.3,142.250.70.78,6,593
2026-06-09 23:02:35.001501,142.250.70.78,10.130.23.3,6,58
2026-06-09 23:02:35.085158,142.250.70.78,10.130.23.3,6,261
2026-06-09 23:02:35.115474,10.130.23.3,142.250.70.78,6,477
2026-06-09 23:02:35.167708,142.250.70.78,10.130.23.3,6,58
2026-06-09 23:02:35.219188,142.250.70.78,10.130.23.3,6,1338
2026-06-09 23:02:35.271317,142.250.70.78,10.130.23.3,6,234
2026-06-09 23:02:35.323632,10.130.23.3,142.250.70.78,6,54
2026-06-09 23:02:35.368554,142.250.70.78,10.130.23.3,6,58
2026-06-09 23:02:35.401998,10.130.23.3,142.250.70.78,6,54
2026-06-09 23:02:35.467631,10.130.23.3,142.250.70.78,6,78
2026-06-09 23:02:35.502869,10.130.23.3,142.250.70.78,6,54
2026-06-09 23:02:35.561904,142.250.70.78,10.130.23.3,6,58
2026-06-09 23:02:35.590184,142.250.70.78,10.130.23.3,6,58
2026-06-09 23:02:35.679613,10.130.23.3,10.130.23.50,17,77
2026-06-09 23:02:35.717767,10.130.23.3,10.130.23.50,17,77
2026-06-09 23:02:35.752638,149.88.31.118,10.130.23.3,17,71
2026-06-09 23:02:35.796501,10.130.23.3,149.88.31.118,17,75
